text_stemming,pseudo_label
konsep kaya hot spot area dulu,netral
download dapen rata2 stabill 4045 mbps download 8mb an per detik,netral
ngeri bakal kontrol alias sadap,negatif
bau bau esemka 30,netral
aneh provider lot parah,negatif
aq dulu pk indihome byr 350 rb skrg aq pndah pk 100rbuan lumayan nonton bola gratis bang emang lelet,netral
harap besar moga beneran hasil meski maksimal hidup kampung mau start streaming biaya wifi rata rata mahal buat start streaming internet rakyat minimal nyentuh 15mbpslebih syukur depan rumah tower bts moga eksekusi rapih,negatif
mana urus perintah masyarakat sendiri 1112 sableng,netral
tunggu 35 thn rilis korup triliyun2 buka spt ektp projek lain,negatif
wowowowow,netral
ingat orang kaya india jua murah besar kolep,positif
fwa pernah dulu main 33ghz gagal,negatif
gak goda kwalitas tetep indihomedi tempat sy macam usaha internet pertama murah tpi lama2 dgn indihome kwalitasnya bawah indihome,positif
nonton make wifinya,netral
internet murah baik sekali ingat mental mafia sdh hati rakyat kerja si mahal maju besar nyata tahu tahu internet murah mahal kayak gojek greb m nyatu mahal karakter elit usaha ingin inting besar segi manusia politik,netral
gk berani jelasin kan open ran kalah jauh ama fiber stabilitas kaya model 3 nembak tiang rebut satu kampung mampus inet kata amrik kor jepang china gk pikir spt bodoh china udah 10g tipu itujangan bahas inet mending ajar kang ono dulu inet harus udah angsur cepat tv analog pakai frekuensi harus internet makanya perintah nyuruh tv digital pihak sedia maka frekuensi harus dr dulu internet jaring beres waktu dekat korupsi nasdem si partai internet cepat buat apa 4g udah gk main soal ping dimana2 ping based on sg misal main game si developer bikin node eu hktaiwan usa biasa dev ogah,positif
gk mudeng c aku,netral
sounds good lets see bagaimana eksekusi,netral
ujung ujung cuman jawa jawa paling,netral
tarik koh buat daerah pakai fiber ping maksimal,netral
bagus aku tunggu,positif
smua internet diiindonesia tu mahal eks xl indosat simpati kwalitas lelet pa mendung maw hujan smua brengseek,negatif
masalah kelola stabil politisasi surge tumbang telkomsel,positif
harga internet makin mahak sangat mahal 20172018 kuota 17g 20g aku pakai bulan abis pakai standar internet desa sekarang pakai standar kuota 40g mencukupiparah,negatif
