author,text,time,likes
@KayaSafana,Oh konsepnya kaya hot spot area di sekola dulu,48 detik yang lalu,0
@rohmanroger9214,Selagi ada di pake aja 😂 gua download Dapen rata2 stabill 40-45 Mbps/ kalo download 8MB an per detik,1 menit yang lalu,0
@yellowgan-pots,ngerinya bakal dikontrol alias sadap,4 menit yang lalu,0
@tukiwin,Bau bau Esemka 3.0,7 menit yang lalu,0
@aldiputra7245,aneh banget provider lemot parah,10 menit yang lalu,0
@AmexIderjagat-rr2pb,Aq dulu pk IndiHome byr 350 rb skrg aq pndah pk 100rbuan lumayan bisa nonton bola gratis bang.. Emang agak lelet sih..,16 menit yang lalu,0
@urm34,"Gw gak berharap gede, tapi semoga beneran ada hasilnya meskipun gak maksimal, gw hidup di perkampungan, mau start streaming tapi dengan biaya wifi rata rata mahal buat start streaming, kalo ini internet rakyat minimal bisa nyentuh 15mbps/lebih, gw masih bisa bersyukur sih, apalagi depan rumah ada tower BTS yang semoga aja eksekusinya rapih.",19 menit yang lalu,0
@imaduddinIma,"Mana ada semua urusan pemerintahan ke masyarakat sendiri 11,12,, sableng semua",23 menit yang lalu,0
@wakaneut,"Tunggu 3-5 thn setelah rilis, nanti korup triliyun2 nya akan kebuka. Spt eKTP dan banyak projek lainnya",26 menit yang lalu,0
@drAnggiaShinta,Wowowowow,40 menit yang lalu,0
@Pr90zdan12,"Teringat orang terkaya di di india, jualah semurahnya, maka yg besar akan kolep",49 menit yang lalu,0
@shariyanto6132,FWA pernah dulu main di 3.3Ghz dan gagal,52 menit yang lalu,0
@lilisratiah7970,"Gak akan tergoda, kwalitas tetep Indihome,,di tempat sy banyak macam perusahaan Internet yg pertamanya murah tpi lama2 sama dgn Indihome dan kwalitasnya di bawah Indihome.",1 jam yang lalu,0
@gamersid1328,Nonton make wifinya 🗿,1 jam yang lalu,0
@hadimustofa9913,"Ok internet murah baik sekali, ingat itu mental mafia nanti sdh
 Dapat hati ke rakyat pasti kerja sama dg si mahal dg
 Ingin maju dan besar kenyataan tahu tahu internet murah jadi mahal kayak gojek, dan greb begitu m nyatu jadi mahal itu karakter para elit pengusaha kita inginnya inting besar segi kemanusiaan hanya politik saja",1 jam yang lalu,0
@tntrtswrsmurf,"gk berani jelasin kan open RAN? ya kalah jauh ama fiber stabilitas, sama aja kaya modelan 3 dll, lu nembak tiang lu rebutan satu kampung mampus aja itu inet, dikata amrik, kor, jepang, china gk punya pikiran spt ini? pembodohan, china udah 10G ini masih aja ditipu ini itu

jangan bahas inet mending lu belajar ke kang ono dulu, inet itu harusnya udah berangsur cepat tv analog yg memakai frekuensi yg harusnya untuk internet sudah tidak ada, makanya pemerintah pada nyuruh tv digital dan pihak penyedia bisa makai frekuensi yg harusnya dr dulu untuk internet, untuk jaringan itu beres dalam waktu dekat tapi dikorupsi nasdem, sama si partai ""internet cepat buat apa?"" 

4G udah gk main, soal ping itu dimana2 ping itu based on sg, kecuali nih ya misal lu main game si developer bikin node eu, hk/taiwan, usa, yg biasanya dev ogah",1 jam yang lalu,0
@KrisdiantoHdy,Masih gk mudeng c aku😢😢😢😢😢,1 jam yang lalu,0
@snooptoms,"sounds good ,Let's See bagaimana eksekusinya",1 jam yang lalu,0
@OrientG,Ujung ujungnya cuman yg jawa jawa lagi paling,1 jam yang lalu,0
@andreaanggisaputra1315,gue tertarik koh.. buat di daerah pakai Fiber aja ping nya belum maksimal..,1 jam yang lalu,0
@sisitlabuhfishingmtp7652,"Bagus yg aku tunggu """,1 jam yang lalu,0
@FirmanGina,Smua internet diiindonesia tu mahal eksis XL Indosat simpati kwalitas lelet pa lagi kalo mendung maw hujan smua brengseek,1 jam yang lalu,0
@baptistachannel2355,Ya gak masalah sih kalau kelolanya stabil dan gak dipolitisasi.. surge pasti akan tumbangkan Telkomsel dll,1 jam yang lalu,0
@boejes3355,"Menurut saya ,harga internet makin mahak & sangat mahal, 2017/2018 itu kuota 17g sampai 20g masih aku pakai sebulan gak abis dengan pemakaian standar internet pedesaan, tapi sekarang pemakaian standar sama kok kuota 40g gak mencukupi😢😢😢parah",2 jam yang lalu,2
@sinarjanggiri,Perlu di coba,2 jam yang lalu,0
@jatibeningkoi,Kalau frekwensi 1 Ghz tembus tembok,2 jam yang lalu,0
@mrlaxman_YT,"Demi apa pun, ❤MINI 1221❤ nagihnya elegan—look premium, flow lembut, mantul! 💥",2 jam yang lalu,0
@ajiraganingsukma7646,SERVER PEMERINTAH AJA KEK GEMBEL...,2 jam yang lalu,0
@thabirachandi555,"Jujur, ❤MINI 1221❤ bikin penasaran terus—grafis cakep, alur ngalir, vibes naik! ✨",2 jam yang lalu,0
